new entry "Mod_Teleportation_Displacement_DisplacerBeast"
type "SpellData"
data "SpellType" "Teleportation"
data "Cooldown" "OncePerTurn"
data "TargetRadius" "8"
data "AreaRadius" "16"
data "LineOfSightFlags" "AddSourceHeight"
data "SpellProperties" "GROUND:TeleportSource()"
data "OriginSpellProperties" "GROUND:Summon(1a1fc113-a50f-4a6c-bf5f-fcd8afcbda53,3,Projectile_AiHelper_Summon_Strong,,,DISPLACER_BEAST_ILLUSION_VFX,CREATEILLUSION_DISPLACERBEAST)"
data "OriginSpellRoll" "not SavingThrow(Ability.Intelligence,13)"
data "OriginSpellSuccess" "DealDamage(2d6,Psychic)"
data "OriginSpellFail" "DealDamage(2d6/2,Psychic)"
data "OriginTargetConditions" "Character() and not Self()"
data "TeleportSelf" "Yes"
data "Icon" "Action_Monster_DisplacerBeast_Displacement"
data "DisplayName" "2fd6898f-e8a6-4fcc-9cfa-4d4ccbb9eb5e;1"
data "Description" "6d2d4094-ec7a-40d0-83f4-362a87699427;2"
data "TooltipDamageList" "DealDamage(2d6,Psychic)"
data "PrepareSound" "CrSpell_Prepare_DisplacerBeast_CreateIllusion"
data "PrepareLoopSound" "CrSpell_Loop_DisplacerBeast_CreateIllusion"
data "CastSound" "CrSpell_Cast_DisplacerBeast_Displacement"
data "TargetSound" "CrSpell_Impact_DisplacerBeast_Displacement"
data "PreviewCursor" "Cast"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;39daf365-ec06-49a8-81f3-9032640699d7,,;5c400e93-0266-499c-a2e1-75d53358460f,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;,,;,,"
data "SpellAnimationIntentType" "Aggressive"
data "VerbalIntent" "Utility"
data "PrepareEffect" "4df27aab-d150-4b22-9c08-735af228cb16"
data "CastEffect" "592c21e9-e32e-4b16-b318-2c886db55986"
data "TargetEffect" "8ff99d6b-f79d-413f-a51a-4f7ca608033a"
data "Sheathing" "DontChange"
